id_mutation,date_mutation,valeur_fonciere,surface,pieces,adresse,numero,code_postal,n_rows,eur_per_m2,cluster
2024-1194646,2024-01-24,555000.0,67.0,2.0,RUE MESLAY,31.0,75003.0,1,8283.58208955224,Northern edge
2024-1195596,2024-02-23,112000.0,13.0,1.0,RUE MESLAY,15.0,75003.0,1,8615.384615384615,Northern edge
2025-1292690,2025-12-29,125000.0,14.0,1.0,RUE VOLTA,45.0,75003.0,1,8928.57142857143,Northern edge
2025-1278557,2025-04-04,1085000.0,118.0,5.0,RUE SAINTE APOLLINE,9.0,75003.0,1,9194.915254237289,Northern edge
2025-1280374,2025-05-27,320000.0,34.0,2.0,RUE MESLAY,32.0,75003.0,1,9411.764705882351,Northern edge
2025-1284662,2025-07-21,190000.0,20.0,0.0,RUE MESLAY,33.0,75003.0,1,9500.0,Northern edge
2024-1205826,2024-09-30,334906.0,35.0,2.0,RUE VOLTA,37.0,75003.0,1,9568.742857142855,Northern edge
2025-1283115,2025-07-04,335000.0,34.0,1.0,RUE VOLTA,18.0,75003.0,1,9852.941176470587,Northern edge
2024-1202797,2024-07-16,254650.0,25.0,1.0,RUE VOLTA,52.0,75003.0,1,10186.0,Northern edge
2024-1207597,2024-10-17,1386550.0,136.0,5.0,RUE MESLAY,13.0,75003.0,1,10195.220588235294,Northern edge
2024-1206047,2024-10-03,450000.0,44.0,2.0,RUE VOLTA,1.0,75003.0,1,10227.272727272728,Northern edge
2024-1207226,2024-10-29,300000.0,29.0,2.0,RUE MESLAY,19.0,75003.0,1,10344.827586206897,Northern edge
2024-1199412,2024-05-16,390000.0,37.0,2.0,RUE VOLTA,28.0,75003.0,1,10540.54054054054,Northern edge
2025-1273634,2025-01-20,382000.0,36.0,2.0,RUE VOLTA,45.0,75003.0,1,10611.111111111111,Northern edge
2024-1206583,2024-10-15,446300.0,41.0,2.0,RUE VOLTA,1.0,75003.0,1,10885.365853658535,Northern edge
2025-1288609,2025-10-15,850000.0,78.0,3.0,RUE SAINTE APOLLINE,7.0,75003.0,1,10897.435897435897,Northern edge
2024-1206040,2024-10-01,165000.0,15.0,1.0,RUE VOLTA,6.0,75003.0,1,11000.0,Northern edge
2025-1292322,2025-12-09,155000.0,14.0,1.0,RUE MESLAY,15.0,75003.0,1,11071.42857142857,Northern edge
2024-1194360,2024-01-31,810000.0,73.0,3.0,RUE MESLAY,13.0,75003.0,1,11095.890410958904,Northern edge
2025-1276003,2025-02-21,312010.0,28.0,1.0,RUE VOLTA,9.0,75003.0,1,11143.214285714286,Northern edge
2024-1195514,2024-02-27,452500.0,40.0,2.0,RUE VOLTA,1.0,75003.0,1,11312.5,Northern edge
2024-1200704,2024-06-18,192678.23,17.0,1.0,RUE VOLTA,45.0,75003.0,1,11334.013529411764,Northern edge
2024-1195654,2024-03-01,259000.0,22.0,1.0,RUE MESLAY,48.0,75003.0,1,11772.727272727272,Northern edge
2024-1200185,2024-05-24,284000.0,24.0,1.0,RUE VOLTA,52.0,75003.0,1,11833.333333333334,Northern edge
2024-1206536,2024-10-11,380000.0,32.0,1.0,RUE VOLTA,39.0,75003.0,1,11875.0,Northern edge
2024-1206590,2024-10-14,563000.0,45.0,2.0,RUE VOLTA,39.0,75003.0,1,12511.111111111111,Northern edge
2024-1204976,2024-09-09,290000.0,23.0,1.0,RUE SAINTE APOLLINE,9.0,75003.0,1,12608.695652173914,Northern edge
2025-1292510,2025-12-15,1540217.0,118.0,5.0,RUE SAINTE APOLLINE,9.0,75003.0,1,13052.686440677966,Northern edge
2025-1282864,2025-07-08,1330000.0,95.0,4.0,RUE VOLTA,16.0,75003.0,1,14000.0,Northern edge
2024-1202131,2024-06-28,1350000.0,95.0,3.0,RUE MESLAY,28.0,75003.0,1,14210.526315789471,Northern edge
2025-1289005,2025-10-22,299000.0,19.0,1.0,RUE VOLTA,50.0,75003.0,1,15736.842105263158,Northern edge
2024-1208166,2024-11-07,443000.0,24.0,1.0,RUE VOLTA,37.0,75003.0,1,18458.333333333332,Northern edge
2025-1291436,2025-12-04,1187380.0,63.0,2.0,RUE VOLTA,41.0,75003.0,1,18847.301587301587,Northern edge
